ID: 4 crossed going up at Mon Oct  2 14:31:47 2023
ID: 2 crossed going up at Mon Oct  2 14:31:48 2023
ID: 2 crossed going up at Mon Oct  2 14:31:48 2023
ID: 2 crossed going up at Mon Oct  2 14:31:48 2023
ID: 2 crossed going up at Mon Oct  2 14:31:48 2023
ID: 8 crossed going up at Mon Oct  2 14:31:50 2023
ID: 10 crossed going up at Mon Oct  2 14:31:51 2023
ID: 12 crossed going up at Mon Oct  2 14:31:51 2023
ID: 15 crossed going down at Mon Oct  2 14:31:52 2023
ID: 10 crossed going up at Mon Oct  2 14:31:52 2023
ID: 17 crossed going up at Mon Oct  2 14:31:53 2023
ID: 17 crossed going up at Mon Oct  2 14:31:53 2023
ID: 17 crossed going up at Mon Oct  2 14:31:53 2023
ID: 31 crossed going down at Mon Oct  2 14:31:54 2023
ID: 33 crossed going up at Mon Oct  2 14:31:55 2023
ID: 31 crossed going down at Mon Oct  2 14:31:55 2023
ID: 31 crossed going up at Mon Oct  2 14:31:55 2023
ID: 79 crossed going down at Mon Oct  2 14:32:04 2023
